player_name,salary,team_abbreviation,age,player_height,player_weight,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,offensive_reb_pct,defensive_reb_pct,usage_pct,true_shooting_pct,assist_pct
A.C. Green,2250000,MIA,37.0,205.74,102.0582,USA,1985,1,23,82,4.5,3.8,0.5,0.08900000000000000,0.171,0.141,0.49200000000000000,0.05
A.J. Guyton,316000,CHI,23.0,185.42,81.64656,USA,2000,2,32,33,6.0,1.1,1.9,0.018000000000000000,0.053,0.16900000000000000,0.495,0.198
Aaron McKie,1820000,PHI,28.0,195.58,94.800728,USA,1994,1,17,76,11.6,4.1,5.0,0.016,0.13,0.19,0.5490000000000000,0.264
Aaron Williams,2250000,NJN,29.0,205.74,102.0582,USA,Undrafted,Undrafted,Undrafted,82,10.2,7.2,1.1,0.102,0.2,0.18,0.5330000000000000,0.068
Adam Keefe,3390000,GSW,31.0,205.74,104.32616,USA,1992,1,10,67,2.5,3.1,0.5,0.105,0.175,0.11600000000000000,0.45,0.066
Adonal Foyle,3578000,GSW,26.0,208.28,113.398,St. Vincent & Grenadines,1997,1,8,58,5.9,7.0,0.8,0.10100000000000000,0.18900000000000000,0.139,0.42200000000000000,0.052000000000000000
Adrian Griffin,498000,BOS,26.0,195.58,97.52228000000000,USA,Undrafted,Undrafted,Undrafted,44,2.1,2.0,0.6,0.077,0.20200000000000000,0.149,0.43200000000000000,0.125
Al Harrington,797000,IND,21.0,205.74,115.212368,USA,1998,1,25,78,7.5,4.9,1.7,0.07400000000000000,0.151,0.187,0.479,0.11600000000000000
Alan Henderson,5909000,ATL,28.0,205.74,106.59412000000000,USA,1995,1,16,73,10.5,5.6,0.7,0.109,0.147,0.22400000000000000,0.48700000000000000,0.05
Allan Houston,9000000,NYK,30.0,198.12,90.7184,USA,1993,1,11,78,18.7,3.6,2.2,0.009000000000000000,0.107,0.256,0.5430000000000000,0.11900000000000000
